epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,7821.44,1.41346,1.19105,1.61468,0.81338,0.67647,0.80588,0.36925,1.83475,1.23765,2.15417,0.0005348,0.0005348,0.0005348
76,7914.61,1.45628,1.20439,1.64348,0.81048,0.70076,0.7763,0.34621,1.86269,1.2997,2.23902,0.000515,0.000515,0.000515
77,8016.11,1.42748,1.19154,1.64257,0.77402,0.71429,0.79589,0.37029,1.78968,1.23578,2.14407,0.0004952,0.0004952,0.0004952
78,8160.03,1.41864,1.1612,1.61693,0.80016,0.70588,0.77795,0.35888,1.82201,1.26642,2.16083,0.0004754,0.0004754,0.0004754
79,8207.37,1.4014,1.16152,1.61088,0.83016,0.71429,0.81469,0.35862,1.87807,1.2303,2.18894,0.0004556,0.0004556,0.0004556
80,8254.36,1.36309,1.1308,1.57212,0.74601,0.73529,0.79202,0.36454,1.85154,1.25409,2.19142,0.0004358,0.0004358,0.0004358
81,8305.54,1.38214,1.1094,1.58233,0.83782,0.69328,0.78324,0.35683,1.84677,1.23887,2.19169,0.000416,0.000416,0.000416
82,8402.72,1.34244,1.10241,1.5525,0.8142,0.66284,0.78072,0.37057,1.83419,1.24858,2.173,0.0003962,0.0003962,0.0003962
83,8555.51,1.37674,1.12559,1.5921,0.73469,0.73109,0.77319,0.35458,1.84943,1.28581,2.17317,0.0003764,0.0003764,0.0003764
84,8675.09,1.37722,1.10602,1.58521,0.79123,0.68908,0.77941,0.34928,1.93727,1.24386,2.26064,0.0003566,0.0003566,0.0003566
85,8872.65,1.35822,1.08743,1.54896,0.79254,0.72269,0.81782,0.38174,1.83556,1.19666,2.17707,0.0003368,0.0003368,0.0003368
86,8981.34,1.36479,1.10012,1.58332,0.82004,0.65546,0.75328,0.34817,1.84894,1.30915,2.21647,0.000317,0.000317,0.000317
87,9099.15,1.36951,1.08664,1.58046,0.74523,0.72689,0.76795,0.3503,1.86951,1.20801,2.27759,0.0002972,0.0002972,0.0002972
88,9209.81,1.3089,1.04301,1.52619,0.80276,0.70113,0.79768,0.37384,1.84084,1.19567,2.17768,0.0002774,0.0002774,0.0002774
89,9326.18,1.36155,1.0729,1.57121,0.77787,0.71008,0.78304,0.36586,1.87614,1.19583,2.27667,0.0002576,0.0002576,0.0002576
90,9404.03,1.32071,1.02919,1.54535,0.80243,0.70168,0.78846,0.37197,1.8387,1.21606,2.22227,0.0002378,0.0002378,0.0002378
91,9483.73,1.28099,0.97739,1.64302,0.79172,0.7187,0.79132,0.36259,1.8256,1.19602,2.22004,0.000218,0.000218,0.000218
92,9563.83,1.27888,0.91117,1.62293,0.82643,0.72019,0.80174,0.3691,1.84709,1.18243,2.22869,0.0001982,0.0001982,0.0001982
93,9706.45,1.22304,0.90213,1.58596,0.79559,0.72269,0.81443,0.38836,1.83772,1.20691,2.20354,0.0001784,0.0001784,0.0001784
94,9839.33,1.22554,0.87797,1.57599,0.78339,0.72269,0.81317,0.38048,1.85746,1.19303,2.22522,0.0001586,0.0001586,0.0001586
95,9959.36,1.20766,0.86299,1.5648,0.78149,0.7521,0.81409,0.38474,1.87267,1.16883,2.26794,0.0001388,0.0001388,0.0001388
96,10036.9,1.20911,0.85591,1.57318,0.787,0.72269,0.79643,0.37463,1.8616,1.1894,2.2659,0.000119,0.000119,0.000119
97,10178.4,1.2132,0.86076,1.58673,0.83133,0.72484,0.80173,0.37319,1.88145,1.16813,2.27663,9.92e-05,9.92e-05,9.92e-05
98,10354.6,1.20488,0.85222,1.5606,0.75011,0.74414,0.79695,0.37515,1.88513,1.15571,2.26966,7.94e-05,7.94e-05,7.94e-05
99,10478.4,1.18428,0.82224,1.54288,0.76387,0.76891,0.80542,0.37985,1.86571,1.16571,2.26928,5.96e-05,5.96e-05,5.96e-05
100,10611.7,1.1649,0.81295,1.53373,0.80102,0.74426,0.8107,0.3847,1.87891,1.16833,2.2762,3.98e-05,3.98e-05,3.98e-05
